feature,mean_abs_shap
h1_sodium_min_missing,2.81339020297121e-05
d1_mbp_max_missing,2.7077664213217097e-05
h1_arterial_ph_min_missing,2.5852152852346126e-05
h1_bilirubin_min_missing,2.070756307547735e-05
h1_arterial_pco2_min_missing,1.910884535938986e-05
heart_rate_apache_missing,1.2938324903058248e-05
h1_calcium_min_missing,1.2470745014561588e-05
apache_2_diagnosis_missing,6.460647963128197e-06
resprate_apache_missing,0.0
ph_apache_missing,0.0
pao2_apache_missing,0.0
readmission_status,0.0
d1_diasbp_min_missing,0.0
d1_heartrate_max_missing,0.0
d1_heartrate_min_missing,0.0
paco2_for_ph_apache_missing,0.0
h1_hco3_min_missing,0.0
d1_mbp_min_missing,0.0
leukemia,0.0
h1_hematocrit_min_missing,0.0
h1_platelets_min_missing,0.0
h1_bun_min_missing,0.0
h1_albumin_min_missing,0.0
d1_hemaglobin_min_missing,0.0
d1_glucose_min_missing,0.0
h1_sysbp_min_missing,0.0
aids,0.0
h1_sysbp_invasive_max_missing,0.0
h1_spo2_min_missing,0.0
lymphoma,0.0
d1_mbp_noninvasive_min_missing,0.0
ethnicity_Asian,0.0
ethnicity_Native American,0.0
hospital_admit_source_PACU,0.0
hospital_admit_source_infrequent_sklearn,0.0
d1_spo2_min_missing,0.0
icu_admit_source_Other ICU,0.0
d1_spo2_max_missing,0.0
icu_stay_type_readmit,0.0
d1_resprate_min_missing,0.0
d1_resprate_max_missing,0.0
d1_diasbp_noninvasive_min_missing,0.0
